Sample_ID,Abs_250nm,Abs_254nm,Abs_280nm,Abs_350nm,Abs_365nm,Abs_412nm,Abs_440nm,C_RSU,A_RSU,T_RSU,B_RSU,M_RSU,FDOM_RSU
K018,0.069448,0.067446,0.067446,0.011803,0.0092232,0.004195,0.0028047,0.26748,0.45583,0.17725,0.12943,0.2841,0.15074
K035,0.11556,0.11236,0.11236,0.023929,0.018943,0.0087927,0.0058061,0.51016,0.82931,0.27783,0.17785,0.51595,0.30943
K019,0.26237,0.25613,0.25613,0.052947,0.040811,0.016703,0.01039,1.1151,1.8029,0.36819,0.20303,1.1362,0.65267
K016,0.1405,0.13678,0.13678,0.028409,0.022185,0.0097429,0.0062657,0.56413,0.91602,0.32271,0.23886,0.58165,0.33947
K047,0.191,0.18671,0.18671,0.048781,0.038538,0.017116,0.011122,0.96242,1.5367,0.39605,0.26099,0.95811,0.58293
K039,0.23927,0.23329,0.23329,0.059692,0.047011,0.021151,0.013989,1.1706,1.794,0.37678,0.22453,1.126,0.74953
K053,0.1684,0.16426,0.16426,0.048468,0.038657,0.01742,0.011508,1.0366,1.4369,0.46744,0.38203,0.99218,0.65552
K025,0.26184,0.25646,0.25646,0.090593,0.074865,0.035456,0.023637,1.1874,1.7504,0.55714,0.6215,1.1595,0.7368
K033,0.15776,0.15355,0.15355,0.039689,0.031173,0.014142,0.0093338,0.72093,1.113,0.20172,0.11585,0.67835,0.50604
K004,0.25065,0.24298,0.24298,0.055273,0.043156,0.018842,0.012186,1.4267,2.2976,0.60303,0.34893,1.4343,0.8734
K023,0.14952,0.14608,0.14608,0.045916,0.036831,0.016673,0.010972,0.81954,1.1632,0.40682,0.39645,0.78706,0.51546
K026,0.22567,0.22038,0.22038,0.066188,0.055136,0.032191,0.024876,0.9021,1.3843,0.44846,0.36839,0.87837,0.62074
K017,0.16341,0.15942,0.15942,0.033739,0.026311,0.011499,0.0075747,0.83606,1.3324,0.32121,0.17047,0.84665,0.4946
K015,0.13356,0.13008,0.13008,0.027503,0.021602,0.0097739,0.0065294,0.62103,1.0211,0.29353,0.18561,0.63351,0.37067
K008,0.057851,0.056134,0.056134,0.010586,0.0082319,0.0036687,0.0024199,0.25957,0.43376,0.16516,0.14087,0.2688,0.1489
K009,0.22996,0.22455,0.22455,0.062392,0.050033,0.023095,0.015346,0.93977,1.4424,0.54519,0.53292,0.9677,0.56405
K010,0.20607,0.20049,0.20049,0.04342,0.033684,0.014399,0.0092544,1.1473,1.7783,0.56778,0.38588,1.1715,0.68288
K011,0.072666,0.070635,0.070635,0.014597,0.01145,0.0051123,0.0033752,0.32687,0.52986,0.19859,0.16217,0.34195,0.19274
K012,0.81151,0.79269,0.79269,0.24543,0.1976,0.089275,0.059131,3.1287,4.7987,1.2098,1.5657,3.1292,1.808
K013,0.24778,0.24044,0.24044,0.057722,0.045416,0.02052,0.013475,1.3186,2.0971,0.51387,0.29959,1.3008,0.85797
K020,0.032658,0.031656,0.031656,0.0060924,0.0048572,0.0023362,0.0016015,0.095626,0.17653,0.073211,0.072879,0.10339,0.053378
K021,1.07,1.0444,1.0444,0.32832,0.26312,0.12596,0.08909,3.7317,5.6505,1.9557,3.3877,3.8548,2.0168
K022,1.0129,0.98693,0.98693,0.23417,0.18449,0.084269,0.05638,4.538,6.8056,1.545,0.97452,4.5143,2.6165
K024,0.25189,0.24507,0.24507,0.055849,0.043696,0.019097,0.012331,1.1782,1.9185,0.45041,0.23464,1.1671,0.73364
K029,0.26561,0.26026,0.26026,0.083727,0.066613,0.031469,0.02198,1.223,1.9187,0.38022,0.31839,1.138,0.86605
K030,0.26598,0.25887,0.25887,0.068769,0.053633,0.023158,0.01496,1.4269,2.1632,0.47886,0.27883,1.3476,0.96268
K034,0.20381,0.19893,0.19893,0.045679,0.035537,0.015186,0.0097295,1.137,1.744,0.40309,0.20572,1.1091,0.6969
K036,0.13012,0.1268,0.1268,0.03004,0.023879,0.011321,0.0076429,0.54344,0.90177,0.29251,0.19664,0.54958,0.34678
K037,0.18102,0.17664,0.17664,0.041596,0.032414,0.01393,0.0092108,0.91193,1.4021,0.34089,0.21863,0.90294,0.5536
K038,0.14543,0.14172,0.14172,0.034145,0.026845,0.011918,0.0078849,0.70449,1.0699,0.32972,0.24906,0.69702,0.41968
K040,0.073514,0.071435,0.071435,0.015107,0.011846,0.0053952,0.0038454,0.28042,0.46516,0.14012,0.10754,0.28741,0.17365
K041,0.20329,0.19824,0.19824,0.044893,0.035171,0.015328,0.0098666,0.9094,1.4487,0.38308,0.25682,0.89968,0.57057
K042,0.35795,0.35467,0.35467,0.2304,0.20883,0.12752,0.094266,1.1173,1.7499,0.76094,1.9072,1.1267,0.69295
K043,0.089986,0.087604,0.087604,0.018768,0.014708,0.0067963,0.0047455,0.42785,0.67803,0.2338,0.15542,0.43782,0.25752
K044,0.18889,0.18381,0.18381,0.040954,0.031903,0.013682,0.0087219,0.92697,1.4854,0.38801,0.23432,0.91244,0.59602
K045,0.51727,0.50632,0.50632,0.16702,0.13417,0.065068,0.046302,1.4985,2.1337,0.39478,0.23208,1.2588,0.99058
K046,0.33836,0.32992,0.32992,0.099618,0.079404,0.037582,0.025637,1.5923,2.4297,0.59453,0.37543,1.5236,1.0668
K048,0.12046,0.11747,0.11747,0.034575,0.027434,0.011762,0.0074322,0.79549,1.2397,0.51338,0.42014,0.80358,0.48145
K049,0.20475,0.19975,0.19975,0.038324,0.029452,0.011984,0.0076725,0.85316,1.3902,0.42125,0.29574,0.91272,0.48069
K050,0.23722,0.2314,0.2314,0.069956,0.055364,0.023746,0.015402,0.96298,1.3662,0.28793,0.17589,0.87819,0.60924
K051,0.27494,0.26832,0.26832,0.061245,0.04742,0.019828,0.012574,1.3985,2.1544,0.52816,0.32024,1.3502,0.90937
