kit_id,Fmax1,Fmax2,Fmax3,Fmax4,Fmax5
K004,1.743243788,1.355315543,0.467325576,0.463378001,0.123798276
K008,0.318475231,0.250481474,0.079952362,0.149366457,0.0109733
K009,1.046424178,0.857463282,0.271315465,0.480633641,0.133718078
K010,1.308510554,1.078625774,0.330769498,0.466375176,0.137925935
K011,0.399325991,0.312207681,0.102969531,0.177451039,0.019280657
K012,3.708376556,2.677357384,0.906949912,0.899883308,0.304992363
K013,1.571961081,1.158077854,0.487594788,0.373336154,0.181660798
K015,0.783339876,0.59034642,0.213116264,0.230605073,0.022147563
K016,0.693084281,0.52236749,0.194791806,0.286842006,0.03130719
K017,1.028614615,0.770816974,0.245610894,0.232077872,0.058081655
K018,0.333439511,0.274432899,0.085461329,0.16300304,0
K019,1.447877493,1.003462651,0.317237735,0.259482003,0.0252478
K020,0.126576771,0.093284612,0.027565025,0.067673452,0
K021,4.083378583,3.403471428,0.919440761,1.697601649,0.407618973
K022,5.366332351,3.821930325,1.252392179,1.105161655,0.454513705
K023,0.809072387,0.67769708,0.237087674,0.3436271,0.234292867
K024,1.487516006,1.069899615,0.417026699,0.317618083,0.082073283
K025,1.243150922,1.020680358,0.344947623,0.449519147,0.271328603
K026,0.988887998,0.728712561,0.385618079,0.386823937,0.196537104
K029,1.436729912,0.948763845,0.512994021,0.271662932,0.255600235
K030,1.589670548,1.152119994,0.555089132,0.34373267,0.313939151
K033,0.833633695,0.554459582,0.293646155,0.134800323,0.14769117
K034,1.354546691,0.978793093,0.357021199,0.282675419,0.135697696
K035,0.619325672,0.485998431,0.182674897,0.233555326,0.036673451
K036,0.688028163,0.496645875,0.210833227,0.251573577,0.03595581
K037,1.079937936,0.779531203,0.267616848,0.253507867,0.12062149
K038,0.824321838,0.603996681,0.199213618,0.290350597,0.088539026
K039,1.394861517,0.930472558,0.400226575,0.257751035,0.163130506
K040,0.350825304,0.257913052,0.098979173,0.120705434,0.016674211
K041,1.08880888,0.789137671,0.316596057,0.302935732,0.099255002
K042,1.049316429,1.090941655,0.351414258,0.728140538,0.295367428
K043,0.506305379,0.398972214,0.140756365,0.210816485,0.038598889
K044,1.098330712,0.806288764,0.331684894,0.294192684,0.122658322
K045,1.710472494,0.918854861,0.5219197,0.276926694,0.329842351
K046,1.80312408,1.284402413,0.63552938,0.440819088,0.320633472
K047,1.177583717,0.852783629,0.292186603,0.293754846,0.080922489
K048,0.833592001,0.786636586,0.216400626,0.456091176,0.144432947
K049,1.086375345,0.810208469,0.217719793,0.335318253,0.01186912
K050,1.049240843,0.692614212,0.288909766,0.213200614,0.22869208
K051,1.623791219,1.140229979,0.480235469,0.393186227,0.245228874
K052,1.23175303,0.885584023,0.339183833,0.318047777,0.063195195
K053,1.01195903,0.842085106,0.297133744,0.398858857,0.308647226
K054,2.631660859,1.677131753,0.924339813,0.431441919,0.424938531
K055,0.720580196,0.539762792,0.182685984,0.215761128,0.118669461
K056,1.796458246,1.274725708,0.640516087,0.408762701,0.298669215
K058,1.42085147,1.006010645,0.422554374,0.274354827,0.164033058
K059,1.045771111,0.761296768,0.264400994,0.257683955,0.036954532
K060,0.664378836,0.506738637,0.179070653,0.201258427,0.058824147
K061,1.934043722,1.376437071,0.647757337,0.347792751,0.338842933
K062,1.362883223,1.033644277,0.358568035,0.349128313,0.191600051
