column_or_row_name,definition,unit,column_or_row_long_name,data_type,"missing_value_code
",notes
Sample_ID,,NA,,text,NA,
Abs_*nm_per_unitDOC,Absorbance normalized to dissolved organic carbon at a given nanometer. The asterisk indicates the nanometers (250; 254; 280; 350; 365; 412; 440).,absorbance units per milligram per liter dissolved organic carbon,,numeric,NA,
C_RSU_per_unitDOC,Fluorescence C Peak normalized to the dissolved organic carbon concentration. Maximum intensity between Emission of 400-460 nanometers at an Excitation between 320-360 nanometers. Wunsch et al. 2019; doi: 10.1039/C8AY02422G.,raman scatter units per milligram per liter dissolved organic carbon,,numeric,NA,
A_RSU_per_unitDOC,Fluorescence A Peak normalized to dissolved organic carbon concentration. Maximum intensity between Emission of 400-460 nanometers at an Excitation of 260 nanometers. Wunsch et al. 2019; doi: 10.1039/C8AY02422G.,raman scatter units per milligram per liter dissolved organic carbon,,numeric,NA,
T_RSU_per_unitDOC,Fluorescence T Peak  normalized to dissolved organic carbon concentration. Maximum intensity between Emission of 300-350 nanometers at an Excitation of 275 nanometers. Wunsch et al. 2019; doi: 10.1039/C8AY02422G.,raman scatter units per milligram per liter dissolved organic carbon,,numeric,NA,
B_RSU_per_unitDOC,Fluorescence B Peak normalized to dissolved organic carbon concentration. Maximum intensity between Emission of 295-315 nanometers at an Excitation of 275 nanometers. Wunsch et al. 2019; doi: 10.1039/C8AY02422G.,raman scatter units per milligram per liter dissolved organic carbon,,numeric,NA,
M_RSU_per_unitDOC,Fluorescence M Peak normalized to dissolved organic carbon concentration. Maximum intensity between Emission of 370-410 nanometers at an Excitation between 290-310 nanometers. Wunsch et al. 2019; doi: 10.1039/C8AY02422G.,raman scatter units per milligram per liter dissolved organic carbon,,numeric,NA,
FDOM_RSU_per_unitDOC,Normalized to dissolved organic carbon concentration of common in situ sensor wavelength setting of 365 nanometer excitation and 480 nanometer emission; most closely resembles C peak. Downing et al. 2012; doi: 10.4319/lom.2012.10.767.,raman scatter units per milligram per liter dissolved organic carbon,,numeric,NA,
